title,user,author,entrytype,EXC,pn,peerReviewed,graduateschool,journal,preprint_id,URL,DOI,ISBN,ISSN,misc
Towards a scale-bridging description of ferrogels and magnetic elastomers,simtech,"Pessot, Giorgio and Weeber, Rudolf and Holm, Christian and Löwen, Hartmut and Menzel, Andreas M",journal-article,EXC310,pn_missing,,,Journal of Physics: Condensed Matter,,http://dx.doi.org/10.1088/0953-8984/27/32/325105,10.1088/0953-8984/27/32/325105,,"['0953-8984', '1361-648X']",
Gramian Optimization with Input-Power Constraints,simtech,"Baggio, Giacomo and Zampieri, Sandro and Scherer, Carsten W.",proceedings-article,EXC2075,pn4,peerReviewed,,,,http://dx.doi.org/10.1109/cdc40024.2019.9029169,10.1109/cdc40024.2019.9029169,,2576-2370,
Structured controller design with applications to networked systems,simtech,"Rosinger, Christian A. and Scherer, Carsten W.",proceedings-article,EXC_MISSING,pn_missing,,,56th IEEE Conf. Decision and Control,,http://dx.doi.org/10.1109/cdc.2017.8264365,10.1109/cdc.2017.8264365,,,
Gaussian Process Regression for Minimum Energy Path Optimization and Transition State Search,simtech,"Denzel, Alexander and Haasdonk, Bernard and Kästner, Johannes",journal-article,EXC2075,pn3,,,J. Phys. Chem. A,,http://dx.doi.org/10.1021/acs.jpca.9b08239,10.1021/acs.jpca.9b08239,,"['1089-5639', '1520-5215']",
An efficient sliding mesh interface method for high-order discontinuous Galerkin schemes,simtech,"Dürrwächter, Jakob and Kurz, Marius and Kopper, Patrick and Kempf, Daniel and Munz, Claus-Dieter and Beck, Andrea",journal-article,EXC2075,pn1,,,Computers & Fluids,,http://dx.doi.org/10.1016/j.compfluid.2020.104825,10.1016/j.compfluid.2020.104825,,['0045-7930'],
Data-driven surrogates for rapid simulation and optimization of WAG injection in fractured carbonate reservoirs,simtech,"Agada, Simeon and Geiger, Sebastian and Elsheikh, Ahmed and Oladyshkin, Sergey",journal-article,EXC310,pn_missing,,,Petroleum Geoscience,,http://dx.doi.org/10.1144/petgeo2016-068,10.1144/petgeo2016-068,,"['1354-0793', '2041-496X']",
An IQC theorem for relations: Towards stability analysis of data-integrated systems,simtech,"Scherer, Carsten W. and Holicki, Tobias",journal-article,EXC310,pn4,peerReviewed,,IFAC-PapersOnLine,,http://dx.doi.org/10.1016/j.ifacol.2018.11.138,10.1016/j.ifacol.2018.11.138,,['2405-8963'],
Analysis of Thermophysical Properties of Deep Eutectic Solvents by Data Integration,simtech,"Xu, Xinmeng and Range, Jan and Gygli, Gudrun and Pleiss, Jürgen",journal-article,EXC2075,pn3,,,Journal of Chemical {\&} Engineering Data,,http://dx.doi.org/10.1021/acs.jced.9b00555,10.1021/acs.jced.9b00555,,"['0021-9568', '1520-5134']",
Einfluss von Schnittstellenmodellierungen bei der Reduktion elastischer Mehrkörpersysteme,simtech,"Nowakowski, Christine and Fehr, Jörg and Eberhard, Peter",journal-article,EXC310,pn_missing,,,at - Automatisierungstechnik,,http://dx.doi.org/10.1524/auto.2011.0929,10.1524/auto.2011.0929,,"['2196-677X', '0178-2312']",
Scenario-based Stochastic MPC with guaranteed recursive feasibility,simtech,"Lorenzen, Matthias and Allgower, Frank and Dabbene, Fabrizio and Tempo, Roberto",proceedings-article,EXC310,pn_missing,,,Proceedings of the IEEE Conference on Decision and Control (CDC),,http://dx.doi.org/10.1109/cdc.2015.7402994,10.1109/cdc.2015.7402994,,,
Soft Controller Switching with Guaranteed H∞ Performance,simtech,"Allerhand, Liron I. and Shaked, Uri",journal-article,EXC310,pn4,peerReviewed,,IFAC-PapersOnLine,,http://dx.doi.org/10.1016/j.ifacol.2015.09.296,10.1016/j.ifacol.2015.09.296,,['2405-8963'],
Permeability Estimation of Regular Porous Structures: A Benchmark for Comparison of Methods,simtech,"Wagner, Arndt and Eggenweiler, Elissa and Weinhardt, Felix and Trivedi, Zubin and Krach, David and Lohrmann, Christoph and Jain, Kartik and Karadimitriou, Nikolaos and Bringedal, Carina and Voland, Paul and Holm, Christian and Class, Holger and Steeb, Holger and Rybak, Iryna",journal-article,EXC2075,pn1,peerReviewed,,Transport in Porous Media,,http://dx.doi.org/10.1007/s11242-021-01586-2,10.1007/s11242-021-01586-2,,"['0169-3913', '1573-1634']",
Controller synthesis for distributed systems over undirected graphs,simtech,"Holicki, Tobias and Scherer, Carsten W.",proceedings-article,EXC310,pn4,peerReviewed,,,,http://dx.doi.org/10.1109/cdc.2016.7799071,10.1109/cdc.2016.7799071,,,
Gain-Scheduling Control With Dynamic Multipliers by Convex Optimization,simtech,"Scherer, Carsten W.",journal-article,EXC310,pn4,peerReviewed,,SIAM J. Contr. Optim.,,http://dx.doi.org/10.1137/140985871,10.1137/140985871,,"['0363-0129', '1095-7138']",
"A novel class of stabilized greedy kernel approximation algorithms: Convergence, stability and uniform point distribution",simtech,"Wenzel, Tizian and Santin, Gabriele and Haasdonk, Bernard",journal-article,EXC2075,pn6,peerReviewed,,ELSEVIER,,http://dx.doi.org/10.1016/j.jat.2020.105508,10.1016/j.jat.2020.105508,,['0021-9045'],
Comparative visual gaze analysis for virtual board games,simtech,"Munz, Tanja and Schäfer, Noel and Blascheck, Tanja and Kurzhals, Kuno and Zhang, Eugene and Weiskopf, Daniel",proceedings-article,EXC2075,pn6,peerReviewed,,The 13th International Symposium on Visual Information Communication and Interaction (VINCI 2020),,http://dx.doi.org/10.1145/3430036.3430038,10.1145/3430036.3430038,9781450387507,,
DFT Accurate Interatomic Potential for Molten NaCl from Machine Learning,simtech,"Tovey, Samuel and Narayanan Krishnamoorthy, Anand and Sivaraman, Ganesh and Guo, Jicheng and Benmore, Chris and Heuer, Andreas and Holm, Christian",journal-article,EXC2075,pn3,,,The Journal of Physical Chemistry C,,http://dx.doi.org/10.1021/acs.jpcc.0c08870,10.1021/acs.jpcc.0c08870,,"['1932-7447', '1932-7455']",
Binding energies and sticking coefficients of H<sub>2</sub> on crystalline and amorphous CO ice,simtech,"Molpeceres, G. and Zaverkin, V. and Watanabe, N. and Kästner, J.",journal-article,EXC2075,pn3,,,Astron. Astrophys.,,http://dx.doi.org/10.1051/0004-6361/202040023,10.1051/0004-6361/202040023,,"['0004-6361', '1432-0746']",
Bootstrapping Complex Workflow Middleware Systems into the Cloud,simtech,"Vukojevic-Haupt, Karolina and Haupt, Florian and Leymann, Frank and Reinfurt, Lukas",proceedings-article,EXC310,pn_missing,,,"Proceedings of the 11th IEEE International Conference on e-Science, 2015",,http://dx.doi.org/10.1109/escience.2015.69,10.1109/escience.2015.69,,,
Stability of adaptive control in the presence of input disturbances and H∞. performance,simtech,"Allerhand, Liron",journal-article,EXC310,pn4,peerReviewed,,Rocond 2015,,http://dx.doi.org/10.1016/j.ifacol.2015.09.437,10.1016/j.ifacol.2015.09.437,,['2405-8963'],
Synthesis of Robust Piecewise Affine Output-Feedback Strategies,simtech,"Trottemant, E. J. and Mazo, M. and Scherer, C. W.",journal-article,EXC310,pn4,peerReviewed,,J. Guid. Control Dynam.,,http://dx.doi.org/10.2514/1.g001343,10.2514/1.g001343,,"['0731-5090', '1533-3884']",
Transport of Turbulence Across Permeable Interface in a Turbulent Channel Flow: Interface-Resolved Direct Numerical Simulation,simtech,"Chu, Xu and Wang, Wenkang and Yang, Guang and Terzis, Alexandros and Helmig, Rainer and Weigand, Bernhard",journal-article,EXC2075,pn1,,,Transport in Porous Media,,http://dx.doi.org/10.1007/s11242-020-01506-w,10.1007/s11242-020-01506-w,,"['0169-3913', '1573-1634']",
Stability analysis of pulse-modulated systems with an application to space launchers*,simtech,"Chaudenson, J. and Fetzer, M. and Scherer, C.W. and Beauvois, D. and Sandou, G. and Bennani, S. and Ganet-Schoeller, M.",journal-article,EXC310,pn4,peerReviewed,,19th IFAC Symposium on Automatic Control in Aerospace,,http://dx.doi.org/10.3182/20130902-5-de-2040.00082,10.3182/20130902-5-de-2040.00082,,['1474-6670'],
Local Prediction Models for Spatiotemporal Volume Visualization,simtech,"Tkachev, Gleb and Frey, Steffen and Ertl, Thomas",journal-article,EXC2075,pn6,peerReviewed,,IEEE Transactions on Visualization and Computer Graphics,,http://dx.doi.org/10.1109/tvcg.2019.2961893,10.1109/tvcg.2019.2961893,,"['1077-2626', '1941-0506', '2160-9306']",
"Model‐based robustness and bistability analysis for methylation‐based, epigenetic memory systems",simtech,"Klingel, Viviane and Kirch, Jakob and Ullrich, Timo and Weirich, Sara and Jeltsch, Albert and Radde, Nicole E.",journal-article,EXC2075,pn2,peerReviewed,graduateSchool,The FEBS Journal,,http://dx.doi.org/10.1111/febs.15838,10.1111/febs.15838,,"['1742-464X', '1742-4658']",
Evolution and persistence of cross-directional statistical dependence during finite-Péclet transport through a real porous medium,simtech,"Most, Sebastian and Bijeljic, Branko and Nowak, Wolfgang",journal-article,EXC310,pn_missing,,,Water Resources Research,,http://dx.doi.org/10.1002/2016wr018969,10.1002/2016wr018969,,['0043-1397'],
IQClab: A new IQC based toolbox for robustness analysis and control design,simtech,"Veenman, Joost and Scherer, Carsten W. and Ardura, Carlos and Bennani, Samir and Preda, Valentin and Girouart, Bénédicte",journal-article,EXC2075,pn4,peerReviewed,,{IFAC}-{PapersOnLine},,http://dx.doi.org/10.1016/j.ifacol.2021.08.583,10.1016/j.ifacol.2021.08.583,,['2405-8963'],
Bayesian Model Selection Helps To Choose Objectively between Thermodynamic Models: A Demonstration of Selecting a Viscosity Model Based on Entropy Scaling,simtech,"Lötgering-Lin, Oliver and Schöniger, Anneli and Nowak, Wolfgang and Gross, Joachim",journal-article,EXC310,pn_missing,,,Industrial & Engineering Chemistry Research,,http://dx.doi.org/10.1021/acs.iecr.6b02671,10.1021/acs.iecr.6b02671,,"['0888-5885', '1520-5045']",
Hessian Matrix Update Scheme for Transition State Search Based on Gaussian Process Regression,simtech,"Denzel, Alexander and Kästner, Johannes",journal-article,EXC2075,pn3,,,J. Chem. Theory Comput.,,http://dx.doi.org/10.1021/acs.jctc.0c00348,10.1021/acs.jctc.0c00348,,"['1549-9618', '1549-9626']",
An accurate reduced-dimension numerical model for evolution of electrical potential and ionic concentration distributions in a nano-scale thin aqueous film,simtech,"Aseyednezhad, Sona and Yan, Lifei and Hassanizadeh, S. Majid and Raoof, Amir",journal-article,EXC2075,pn1,,,Advances in Water Resources,,http://dx.doi.org/10.1016/j.advwatres.2021.104058,10.1016/j.advwatres.2021.104058,,['0309-1708'],
Direct Numerical Simulations of Grouping Effects in Droplet Streams Using Different Boundary Conditions,simtech,"Ibach, Matthias and Schulte, Kathrin and Vaikuntanathan, Visakh and Arad, Alumah and Katoshevski, David and Greenberg, Barry and Weigand, Bernhard",journal-article,EXC2075,pn1,,,"ICLASS 2021, 15th Triennial International Conference on Liquid Atomization and Spray Systems",,http://dx.doi.org/10.2218/iclass.2021.5815,10.2218/iclass.2021.5815,,,
Neural-network assisted study of nitrogen atom dynamics on amorphous solid water – II. Diffusion,simtech,"Zaverkin, Viktor and Molpeceres, Germán and Kästner, Johannes",journal-article,EXC2075,pn6,,,Mon. Not. R. Astron. Soc.,,http://dx.doi.org/10.1093/mnras/stab3631,10.1093/mnras/stab3631,,"['0035-8711', '1365-2966']",
"Predicting Vertical
            <scp>LNAPL</scp>
            Distribution in the Subsurface under the Fluctuating Water Table Effect",simtech,"Boumaiza, Lamine and Chesnaux, Romain and Walter, Julien and Lenhard, Robert J. and Hassanizadeh, Seyed M. and Dokou, Zoi and Alazaiza, Motasem Y.D.",journal-article,EXC2075,pn1,,,Groundwater Monitoring \& Remediation,,http://dx.doi.org/10.1111/gwmr.12497,10.1111/gwmr.12497,,"['1069-3629', '1745-6592']",
A synthesis framework for robust gain-scheduling controllers,simtech,"Veenman, Joost and Scherer, Carsten W.",journal-article,EXC310,pn4,peerReviewed,,Automatica,,http://dx.doi.org/10.1016/j.automatica.2014.10.002,10.1016/j.automatica.2014.10.002,,['0005-1098'],
Binding free energies for the SAMPL8 CB8 “Drugs of Abuse” challenge from umbrella sampling combined with Hamiltonian replica exchange,simtech,"Markthaler, Daniel and Kraus, Hamzeh and Hansen, Niels",journal-article,EXC2075,pn3,peerreviewed,,Journal of Computer-Aided Molecular Design,,http://dx.doi.org/10.1007/s10822-021-00439-w,10.1007/s10822-021-00439-w,,"['0920-654X', '1573-4951']",
ClaVis,simtech,"Heyen, Frank and Munz, Tanja and Neumann, Michael and Ortega, Daniel and Vu, Ngoc Thang and Weiskopf, Daniel and Sedlmair, Michael",proceedings-article,EXC2075,pn6,peerReviewed,,,,http://dx.doi.org/10.1145/3399715.3399814,10.1145/3399715.3399814,9781450375351,,
"Multi-component modelling of human brain tissue: a contribution to the constitutive and computational description of deformation, flow and diffusion processes with application to the invasive drug-delivery problem",simtech,"Ehlers, Wolfgang and Wagner, Arndt",journal-article,EXC310,pn2,,,Computer Methods in Biomechanics and Biomedical Engineering,,http://dx.doi.org/10.1080/10255842.2013.853754,10.1080/10255842.2013.853754,,"['1025-5842', '1476-8259']",
Coupling staggered-grid and MPFA finite volume methods for free flow/porous-medium flow problems,simtech,"Schneider, Martin and Weishaupt, Kilian and Gläser, Dennis and Boon, Wietse M. and Helmig, Rainer",journal-article,EXC2075,pn1,,,Journal of Computational Physics,,http://dx.doi.org/10.1016/j.jcp.2019.109012,10.1016/j.jcp.2019.109012,,['0021-9991'],
"Full‐block multipliers for repeated, slope‐restricted scalar nonlinearities",simtech,"Fetzer, Matthias and Scherer, Carsten W.",journal-article,EXC310,pn4,peerReviewed,,Int. J. Robust Nonlin.,,http://dx.doi.org/10.1002/rnc.3751,10.1002/rnc.3751,,"['1049-8923', '1099-1239']",
Gain-scheduled synthesis with dynamic generalized strictly positive real multipliers: A complete solution,simtech,"Scherer, Carsten W.",proceedings-article,EXC310,pn4,peerReviewed,,,,http://dx.doi.org/10.1109/cdc.2013.6760520,10.1109/cdc.2013.6760520,,,
A two-way coupled model for the co-transport of two different colloids in porous media,simtech,"Seetha, N. and Hassanizadeh, S. Majid",journal-article,EXC2075,pn1,,,Journal of Contaminant Hydrology,,http://dx.doi.org/10.1016/j.jconhyd.2021.103922,10.1016/j.jconhyd.2021.103922,,['0169-7722'],
Robust and structure exploiting optimisation algorithms: an integral quadratic constraint approach,simtech,"Michalowsky, Simon and Scherer, Carsten and Ebenbauer, Christian",journal-article,EXC2075,pn4,peerReviewed,,International Journal of Control,,http://dx.doi.org/10.1080/00207179.2020.1745286,10.1080/00207179.2020.1745286,,"['0020-7179', '1366-5820']",
Stability analysis and output-feedback synthesis of hybrid systems affected by piecewise constant parameters via dynamic resetting scalings,simtech,"Holicki, Tobias and Scherer, Carsten W.",journal-article,EXC2075,pn4,peerReviewed,,Nonlinear Analysis: Hybrid Systems,,http://dx.doi.org/10.1016/j.nahs.2019.06.003,10.1016/j.nahs.2019.06.003,,['1751-570X'],
Robust Gain-scheduled Controller Design with a Hierarchical Structure,simtech,"Guo, Yang and Scherer, Carsten W.",journal-article,EXC310,pn4,peerReviewed,,IFAC-PapersOnLine,,http://dx.doi.org/10.1016/j.ifacol.2018.11.110,10.1016/j.ifacol.2018.11.110,,['2405-8963'],
On the influence of Filter Choice in Output-Feedback MRAC during Adaptation Transients,simtech,"Missler, Jonas and Schwarzmann, Dieter and Allerhand, Liron",journal-article,EXC310,pn4,peerReviewed,,IFAC-PapersOnLine,,http://dx.doi.org/10.1016/j.ifacol.2015.09.236,10.1016/j.ifacol.2015.09.236,,['2405-8963'],
Asymptotic analysis for Korteweg models,simtech,"Dreyer, Wolfgang and Giesselmann, Jan and Kraus, Christiane and Rohde, Christian",journal-article,EXC310,pn_missing,,,Interfaces and Free Boundaries,,http://dx.doi.org/10.4171/ifb/275,10.4171/ifb/275,,['1463-9963'],
A Swapping Lemma for Switched Systems,simtech,"Holicki, Tobias and Scherer, Carsten W.",journal-article,EXC310,pn4,peerReviewed,,IFAC-PapersOnLine,,http://dx.doi.org/10.1016/j.ifacol.2018.11.131,10.1016/j.ifacol.2018.11.131,,['2405-8963'],
Zames–Falb Multipliers for Invariance,simtech,"Fetzer, Matthias and Scherer, Carsten W.",journal-article,EXC_MISSING,pn4,peerReviewed,,IEEE Control Systems Letters,,http://dx.doi.org/10.1109/lcsys.2017.2718556,10.1109/lcsys.2017.2718556,,['2475-1456'],
Visual analytics tool for the interpretation of hidden states in recurrent neural networks,simtech,"Garcia, Rafael and Munz, Tanja and Weiskopf, Daniel",journal-article,EXC2075,pn6,peerreviewed,,"Visual Computing for Industry, Biomedicine, and Art",,http://dx.doi.org/10.1186/s42492-021-00090-0,10.1186/s42492-021-00090-0,,['2524-4442'],
Study of Heart Rate Visualizations on a Virtual Smartwatch,simtech,"Grioui, Fairouz and Blascheck, Tanja",proceedings-article,EXC2075,pn7,,,,,http://dx.doi.org/10.1145/3489849.3489913,10.1145/3489849.3489913,,,
Stability analysis with integral quadratic constraints: A dissipativity based proof,simtech,"Veenman, Joost and Scherer, Carsten W.",proceedings-article,EXC310,pn4,peerReviewed,,,,http://dx.doi.org/10.1109/cdc.2013.6760464,10.1109/cdc.2013.6760464,,,
A General Integral Quadratic Constraints Theorem with Applications to a Class of Sampled-Data Systems,simtech,"Fetzer, M. and Scherer, C. W.",journal-article,EXC310,pn4,peerReviewed,,SIAM J. Contr. Optim.,,http://dx.doi.org/10.1137/140985482,10.1137/140985482,,"['0363-0129', '1095-7138']",
The Computation of Nonclassical Shock Waves in Porous Media with a Heterogeneous Multiscale Method: The Multidimensional Case,simtech,"Kissling, Frederike and Rohde, Christian",journal-article,EXC310,pn2,,,SIAM Multiscale Model. Simul.,,http://dx.doi.org/10.1137/120899236,10.1137/120899236,,"['1540-3459', '1540-3467']",
Structured -optimal control for nested interconnections: A state-space solution,simtech,"Scherer, Carsten W.",journal-article,EXC310,pn4,peerReviewed,,Syst. Control Lett.,,http://dx.doi.org/10.1016/j.sysconle.2013.09.001,10.1016/j.sysconle.2013.09.001,,['0167-6911'],
"Obstacles, Interfacial Forms, and Turbulence: A Numerical Analysis of Soil–Water Evaporation Across Different Interfaces",simtech,"Coltman, Edward and Lipp, Melanie and Vescovini, Andrea and Helmig, Rainer",journal-article,EXC2075,pn1,,,Transport in Porous Media,,http://dx.doi.org/10.1007/s11242-020-01445-6,10.1007/s11242-020-01445-6,,"['0169-3913', '1573-1634']",
"Material modeling for parametric, anisotropic finite strain hyperelasticity based on machine learning with application in optimization of metamaterials",simtech,"Fernández, Mauricio and Fritzen, Felix and Weeger, Oliver",journal-article,EXC2075,pn3,,,International Journal for Numerical Methods in Engineering,,http://dx.doi.org/10.1002/nme.6869,10.1002/nme.6869,,"['0029-5981', '1097-0207']",
Output-Feedback Gain-Scheduling Synthesis for a Class of Switched Systems via Dynamic Resetting $D$-Scalings,simtech,"Holicki, Tobias and Scherer, Carsten W.",proceedings-article,EXC310,pn4,peerReviewed,,,,http://dx.doi.org/10.1109/cdc.2018.8619128,10.1109/cdc.2018.8619128,,2576-2370,
Gaussian Moments as Physically Inspired Molecular Descriptors for Accurate and Scalable Machine Learning Potentials,simtech,"Zaverkin, V. and Kästner, J.",journal-article,EXC2075,pn6,,,J. Chem. Theory Comput.,,http://dx.doi.org/10.1021/acs.jctc.0c00347,10.1021/acs.jctc.0c00347,,"['1549-9618', '1549-9626']",
Absolute stability analysis of discrete time feedback interconnections * *The authors would like to thank the German Research Foundation (DFG) for financial support of the project within the Cluster of Excellence in Simulation Technology (Grant number: EXC 310/2) at the University of Stuttgart,simtech,"Fetzer, Matthias and Scherer, Carsten W.",journal-article,EXC310,pn4,peerReviewed,,IFAC-PapersOnLine,,http://dx.doi.org/10.1016/j.ifacol.2017.08.757,10.1016/j.ifacol.2017.08.757,,['2405-8963'],
Relaxation of the Navier-Stokes-Korteweg equations for compressible two-phase flow with phase transition,simtech,"Neusser, J. and Rohde, C. and Schleper, V.",journal-article,EXC310,pn2,,,Internat. J. Numer. Methods Fluids,,http://dx.doi.org/10.1002/fld.4065,10.1002/fld.4065,,['0271-2091'],
Robust state-feedback control of stochastic state-multiplicative discrete-time linear switched systems with dwell time,simtech,"Allerhand, L. I. and Gershon, E. and Shaked, U.",journal-article,EXC310,pn4,peerReviewed,,Int. J. Robust Nonlin,,http://dx.doi.org/10.1002/rnc.3301,10.1002/rnc.3301,,['1049-8923'],
Computational and analytical investigations of shape effects in the experimental characterization of magnetorheological elastomers,simtech,"Keip, Marc-André and Rambausek, Matthias",journal-article,EXC310,pn_missing,,,International Journal of Solids and Structures,,http://dx.doi.org/10.1016/j.ijsolstr.2017.04.012,10.1016/j.ijsolstr.2017.04.012,,['0020-7683'],
Robust static output feedback synthesis under an integral quadratic constraint on the states,simtech,"Koroglu, Hakan and Scherer, Carsten W. and Falcone, Paolo",proceedings-article,EXC310,pn4,peerReviewed,,"Control Conference (ECC), 2015 European",,http://dx.doi.org/10.1109/ecc.2015.7331027,10.1109/ecc.2015.7331027,,,
A data-driven high order sub-cell artificial viscosity for the discontinuous Galerkin spectral element method,simtech,"Zeifang, Jonas and Beck, Andrea",journal-article,EXC2075,pn1,peerreviewed,,Journal of Computational Physics,,http://dx.doi.org/10.1016/j.jcp.2021.110475,10.1016/j.jcp.2021.110475,,['0021-9991'],
On the Influence of Polynomial De-aliasing on Subgrid Scale Models,simtech,"Beck, Andrea D. and Flad, David G. and Tonhäuser, Claudia and Gassner, Gregor and Munz, Claus-Dieter",journal-article,EXC310,pn1,,,Flow Turbulence Combustion,,http://dx.doi.org/10.1007/s10494-016-9704-y,10.1007/s10494-016-9704-y,,"['1386-6184', '1573-1987']",
Invariance With Dynamic Multipliers,simtech,"Fetzer, Matthias and Scherer, Carsten W. and Veenman, Joost",journal-article,EXC310,pn4,peerReviewed,,IEEE Trans. Autom. Control,,http://dx.doi.org/10.1109/tac.2017.2762764,10.1109/tac.2017.2762764,,"['0018-9286', '1558-2523', '2334-3303']",
Fast and Sample-Efficient Interatomic Neural Network Potentials for Molecules and Materials Based on Gaussian Moments,simtech,"Zaverkin, Viktor and Holzmüller, David and Steinwart, Ingo and Kästner, Johannes",journal-article,EXC_MISSING,pn6,,,J. Chem. Theory Comput.,,http://dx.doi.org/10.1021/acs.jctc.1c00527,10.1021/acs.jctc.1c00527,,"['1549-9618', '1549-9626']",
IQC-synthesis with general dynamic multipliers,simtech,"Veenman, Joost and Scherer, Carsten W.",journal-article,EXC310,pn4,peerReviewed,,Int. J. Robust Nonlin.,,http://dx.doi.org/10.1002/rnc.3042,10.1002/rnc.3042,,['1049-8923'],
Lifting to Passivity for H2-Gain-Scheduling Synthesis with Full Block Scalings,simtech,"Rösinger, Christian A. and Scherer, Carsten W.",journal-article,EXC2075,pn4,peerReviewed,,IFAC-PapersOnLine,,http://dx.doi.org/10.1016/j.ifacol.2020.12.570,10.1016/j.ifacol.2020.12.570,,['2405-8963'],
"Lossless &lt;mml:math altimg=""si10.gif"" display=""inline"" overflow=""scroll"" xmlns:xocs=""http://www.elsevier.com/xml/xocs/dtd"" xmlns:xs=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns=""http://www.elsevier.com/xml/ja/dtd"" xmlns:ja=""http://www.elsevier.com/xml/ja/dtd"" xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:tb=""http://www.elsevier.com/xml/common/table/dtd"" xmlns:sb=""http://www.elsevier.com/xml/common/struct-bib/dtd"" xmlns:ce=""http://www.elsevier.com/xml/common/dtd"" xmlns:xlink=""http://www.w3.org/1999/xlink"" xmlns:cals=""http://www.elsevier.com/xml/common/cals/dtd"" xmlns:sa=""http://www.elsevier.com/xml/common/struct-aff/dtd""&gt;&lt;mml:msub&gt;&lt;mml:mrow&gt;&lt;mml:mi&gt;H&lt;/mml:mi&gt;&lt;/mml:mrow&gt;&lt;mml:mrow&gt;&lt;mml:mi&gt;∞&lt;/mml:mi&gt;&lt;/mml:mrow&gt;&lt;/mml:msub&gt;&lt;/mml:math&gt;-synthesis for 2D systems (special issue JCW)",simtech,"Scherer, Carsten W.",journal-article,EXC310,pn4,peerReviewed,,Syst. Contr. Letters,,http://dx.doi.org/10.1016/j.sysconle.2016.02.011,10.1016/j.sysconle.2016.02.011,,['0167-6911'],
A Scalings Approach to H2-Gain-Scheduling Synthesis without Elimination,simtech,"Rösinger, Christian A. and Scherer, Carsten W.",journal-article,EXC2075,pn4,peerReviewed,,IFAC-PapersOnLine,,http://dx.doi.org/10.1016/j.ifacol.2019.12.347,10.1016/j.ifacol.2019.12.347,,['2405-8963'],
Stability and performance analysis on Sobolev spaces,simtech,"Fetzer, Matthias and Scherer, Carsten W.",proceedings-article,EXC310,pn4,peerReviewed,,,,http://dx.doi.org/10.1109/cdc.2016.7799390,10.1109/cdc.2016.7799390,,,
Optimality of robust disturbance-feedback strategies,simtech,"Trottemant, E. J. and Scherer, C. W. and Mazo, M.",journal-article,EXC310,pn4,peerReviewed,,Int. J. Robust Nonlin,,http://dx.doi.org/10.1002/rnc.3360,10.1002/rnc.3360,,['1049-8923'],
A Local-in-Time Theory for Singular SDEs with Applications to Fluid Models with Transport Noise,simtech,"Alonso-Orán, Diego and Rohde, Christian and Tang, Hao",journal-article,EXC2075,pn1,,,arXiv preprint arXiv:2010.09972,,http://dx.doi.org/10.1007/s00332-021-09755-9,10.1007/s00332-021-09755-9,,"['0938-8974', '1432-1467']",
Electronic screening using a virtual Thomas–Fermi fluid for predicting wetting and phase transitions of ionic liquids at metal surfaces,simtech,"Schlaich, Alexander and Jin, Dongliang and Bocquet, Lyderic and Coasne, Benoit",journal-article,EXC2075,pn1,peerReviewed,,Nature materials,,http://dx.doi.org/10.1038/s41563-021-01121-0,10.1038/s41563-021-01121-0,,"['1476-1122', '1476-4660']",
From transfer matrices to realizations: Convergence properties and parametrization of robustness analysis conditions,simtech,"Scherer, Carsten W. and Köse, İ. Emre",journal-article,EXC310,pn4,peerReviewed,,Syst. Contr. Letters,,http://dx.doi.org/10.1016/j.sysconle.2013.04.001,10.1016/j.sysconle.2013.04.001,,['0167-6911'],
Output-Feedback Synthesis for a Class of Aperiodic Impulsive Systems,simtech,"Holicki, Tobias and Scherer, Carsten W.",journal-article,EXC2075,pn4,peerReviewed,,{IFAC}-{P}apers{O}nline,,http://dx.doi.org/10.1016/j.ifacol.2020.12.981,10.1016/j.ifacol.2020.12.981,,['2405-8963'],
State-feedback control of stochastic discrete-time linear switched systems with dwell time,simtech,"Allerhand, Liron I. and Gershon, Eli and Shaked, Uri",proceedings-article,EXC310,pn4,peerReviewed,,ECC 2015,,http://dx.doi.org/10.1109/ecc.2015.7330585,10.1109/ecc.2015.7330585,,,
Towards the Numerical Determination of the Splashing Threshold of Two-Component Drop Film Interactions,simtech,"Steigerwald, Jonas and Ibach, Matthias and Reutzsch, Jonathan and Weigand, Bernhard",book-chapter,EXC2075,pn1,peerReviewed,,,,http://dx.doi.org/10.1007/978-3-030-80602-6_17,10.1007/978-3-030-80602-6_17,"['9783030806019', '9783030806026']",,
